epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.613,1.67198,4.18251,1.25688,0.00588,0.24285,0.0406,0.02745,1.44879,4.05359,0.95222,0.00010908,0.00010908,0.00010908
2,63.924,1.66963,3.23805,1.19246,0.01114,0.34913,0.07462,0.03604,1.33062,3.83388,0.90382,0.000216001,0.000216001,0.000216001
3,95.013,1.56924,2.38295,1.12326,0.92923,0.07373,0.08661,0.05245,1.29714,3.39089,0.88594,0.000311223,0.000311223,0.000311223
4,125.852,1.54071,2.05189,1.14453,1,0.02076,0.13504,0.07737,1.40055,3.19192,0.92351,0.000394747,0.000394747,0.000394747
5,156.909,1.52688,1.95889,1.13899,0.97948,0.02749,0.17996,0.10886,1.42451,2.81112,0.97914,0.000466572,0.000466572,0.000466572
6,188.238,1.42893,1.76411,1.16367,0.97772,0.07485,0.19547,0.12587,1.38517,2.55134,0.97433,0.000526697,0.000526697,0.000526697
7,219.176,1.40657,1.90282,1.14596,0.61878,0.14878,0.16929,0.10104,1.45002,2.38094,1.0302,0.000575124,0.000575124,0.000575124
8,250.198,1.4521,1.84428,1.15563,0.62271,0.17238,0.19174,0.10666,1.49572,2.2329,1.0387,0.000594031,0.000594031,0.000594031
9,280.496,1.41915,1.68751,1.10982,0.73108,0.17982,0.21314,0.12697,1.40625,1.82056,0.99718,0.000549036,0.000549036,0.000549036
10,311.046,1.43563,1.68225,1.10207,0.71873,0.19444,0.21449,0.12187,1.36837,1.77792,0.99949,0.00050404,0.00050404,0.00050404
11,341.394,1.49005,2.04383,1.16378,0.64335,0.17411,0.21136,0.11087,1.43387,1.72416,1.07411,0.000459045,0.000459045,0.000459045
12,372.242,1.48617,1.97407,1.11942,0.9069,0.14184,0.21931,0.11548,1.4371,1.96045,1.12751,0.000414049,0.000414049,0.000414049
13,403.209,1.40294,1.94365,1.1161,0.90581,0.14414,0.21737,0.11478,1.43747,2.01108,1.13095,0.000369054,0.000369054,0.000369054
14,433.23,1.34163,1.79476,1.10481,0.95791,0.15578,0.22002,0.12108,1.43583,1.77598,1.13138,0.000324058,0.000324058,0.000324058
15,463.523,1.36374,1.80408,1.11712,0.76342,0.18522,0.23583,0.13087,1.41464,1.69079,1.08498,0.000279063,0.000279063,0.000279063
16,493.629,1.27098,1.70386,1.11241,0.46386,0.234,0.24593,0.13554,1.38636,1.68906,1.06381,0.000234068,0.000234068,0.000234068
17,523.666,1.30178,1.79391,1.08774,0.8211,0.2184,0.27951,0.14541,1.35488,1.72423,1.04745,0.000189072,0.000189072,0.000189072
18,553.61,1.30045,1.67505,1.05667,0.84997,0.2113,0.29391,0.16102,1.34667,1.71276,1.04369,0.000144077,0.000144077,0.000144077
19,583.914,1.26729,1.73349,1.07523,0.90257,0.20526,0.28669,0.15698,1.3614,1.70272,1.05017,9.9081e-05,9.9081e-05,9.9081e-05
20,614.117,1.27922,1.60649,1.07199,0.8993,0.20918,0.29072,0.15969,1.35441,1.67156,1.04482,5.40855e-05,5.40855e-05,5.40855e-05
